conditioner,flow_type,pip_rmse_truth,pip_rmse_mcmc,true_active_skl,true_active_skl_mean,zero_js,zero_js_mean,n_truth_active,n_truth_zero,n_valid_true_active_skl,selection_mode,reference_compatibility,rmse_with_mcmc,true_skl,conditional_joint_skl,rat_joint_active_draws,mcmc_joint_active_draws,rat_joint_active_prob,mcmc_joint_active_prob,rat_test_signal_r2,rat_test_signal_mse,mcmc_reference_signal_r2,mcmc_reference_mse,elbo,train_time_sec,sec_per_epoch,posterior_sampling_time_sec,posterior_sampling_time_iqr_sec,trainable_params,flow_trainable_params,gpu_peak_memory_bytes,mcmc_sampling_time_sec
full_attention,full_attention_affine,0.13908874864632292,0.37601904207101006,1.1647286650004935,1.1647286650004935,0.1900860900262028,0.16143731708809195,2,3,2,unit_group,exact,0.37601904207101006,1.1647286650004935,2.4166566722561784,5000,5000,1.0,1.0,0.9807522296905518,0.04812410846352577,0.9778200387954712,0.055455416440963745,-162.7293701171875,270.03150159999495,0.10801260063999799,0.3660812999587506,0.007973100000526756,165452,165408,,85.8806642999989
separate_attention,separate_attention_affine,0.2943371943876615,0.2328202396700081,1.3208426288782489,1.3208426288782489,0.051474939423043035,0.06238952310783413,2,3,2,unit_group,exact,0.2328202396700081,1.3208426288782489,3.29594896437388,5000,5000,1.0,1.0,0.971416175365448,0.07146664708852768,0.9778200387954712,0.055455416440963745,-165.15170288085938,128.79525320004905,0.051518101280019615,0.026798599981702864,0.0011751499841921031,93932,93888,,85.8806642999989
shared_attention,shared_attention_affine,0.20026442519828627,0.3228733497828522,1.6607779616233413,1.6607779616233413,0.12064760447119745,0.12023035237969348,2,3,2,unit_group,exact,0.3228733497828522,1.6607779616233413,4.132460921630571,5000,5000,1.0,1.0,0.9777894020080566,0.055531978607177734,0.9778200387954712,0.055455416440963745,-165.96852111816406,89.20279219996883,0.03568111687998753,0.019325500004924834,0.0002545999886933714,61164,61120,,85.8806642999989
