method,N,D_SKL_A,D_JS_0,Normalized_L1_PIP,RMSE_PIP,AUROC,AUPRC,MCMC_AUROC,MCMC_AUPRC,MCMCBR,BR,BRREL,Time_s,MH_Time_s
Semantic-Affine,100,"0.3713 [0.3315, 0.4121]","0.0024 [0.0022, 0.0025]","0.0350 [0.0337, 0.0362]","0.1085 [0.1039, 0.1128]","0.9954 [0.9920, 0.9981]","0.9880 [0.9823, 0.9931]","0.9976 [0.9946, 0.9995]","0.9932 [0.9881, 0.9971]","0.0087 [0.0071, 0.0103]","0.0250 [0.0230, 0.0271]","2.8943 [2.5573, 3.3325]","3076.4 [2854.4, 3328.0]","401.4 [396.9, 406.3]"
RAT-Flow,100,"0.3706 [0.3288, 0.4125]","0.0020 [0.0019, 0.0021]","0.0342 [0.0330, 0.0355]","0.1100 [0.1055, 0.1144]","0.9963 [0.9939, 0.9983]","0.9885 [0.9828, 0.9935]","0.9976 [0.9947, 0.9995]","0.9932 [0.9882, 0.9971]","0.0087 [0.0071, 0.0103]","0.0255 [0.0235, 0.0275]","2.9424 [2.5910, 3.3613]","1796.1 [1618.2, 2006.7]","401.4 [396.8, 406.2]"
