method,N,D_SKL_A,D_SKL_A_ci_low,D_SKL_A_ci_high,D_JS_0,D_JS_0_ci_low,D_JS_0_ci_high,Normalized_L1_PIP,Normalized_L1_PIP_ci_low,Normalized_L1_PIP_ci_high,RMSE_PIP,RMSE_PIP_ci_low,RMSE_PIP_ci_high,AUROC,AUROC_ci_low,AUROC_ci_high,AUPRC,AUPRC_ci_low,AUPRC_ci_high,MCMC_AUROC,MCMC_AUROC_ci_low,MCMC_AUROC_ci_high,MCMC_AUPRC,MCMC_AUPRC_ci_low,MCMC_AUPRC_ci_high,MCMCBR,MCMCBR_ci_low,MCMCBR_ci_high,BR,BR_ci_low,BR_ci_high,Time_s,Time_s_ci_low,Time_s_ci_high,MH_Time_s,MH_Time_s_ci_low,MH_Time_s_ci_high,BRREL,BRREL_ci_low,BRREL_ci_high
Mean-field,100,28.514650470115342,28.187363745231448,28.719855505218742,0.5704052039780478,0.533810454980053,0.606225280933783,0.777744,0.7453304753124999,0.80699667,0.8134793251430753,0.7780455207042497,0.8448915488161949,0.8496833333333332,0.8391049999999999,0.860283611111111,0.4602957415663535,0.4333074134702815,0.48674157048404865,0.9976055555555554,0.9945555555555555,0.9995444444444443,0.9932182016813595,0.9880580677765218,0.9970987391993971,0.008651375940624999,0.007140686030273438,0.010291490837968749,0.6879746945,0.6413764144185938,0.7326834722703126,13.612036230564117,11.461832999289037,16.18381729143858,401.41236000000004,396.8542550000001,406.25212650000003,79.52199733563987,64.349096866972,98.68983864882267
Affine coupling,100,0.5624368849679178,0.46769071821270636,0.6735089925454347,0.0006014251013450786,0.0003245396753796877,0.0009581363777060008,0.030530924999999997,0.028039630312499998,0.03313803124999999,0.12355251430524389,0.11780126792254912,0.1292273807478787,0.9910166666666668,0.9863444444444444,0.9949724999999999,0.9759648518164306,0.9668364374828158,0.9844325914589297,0.9976055555555554,0.9946941666666667,0.9995499999999998,0.9932182016813595,0.9881738478298018,0.9971253590159839,0.008651375940624999,0.007149492429882812,0.01028198624957031,0.02973876848125,0.027631240204999998,0.0318995958871875,1729.975286810398,1620.3968947778344,1873.2826624594331,401.41236000000004,396.76692125,406.1600042500001,3.4374611258774626,2.948654715124887,4.004258606895264
RAT-Flow,100,0.3705762621605971,0.3297154144038886,0.4139243339483576,0.001963618730848886,0.001855421206493,0.002073384775776841,0.034245374999999995,0.03301545625,0.035477728125,0.1100448314812402,0.10558373273287235,0.11454631472349204,0.9963222222222221,0.99381625,0.99831125,0.9885376528435427,0.9829484497415196,0.9933452237014192,0.9976055555555554,0.994561111111111,0.9995499999999999,0.9932182016813595,0.9880547514619882,0.9971554256379587,0.008651375940624999,0.00721462699640625,0.01027654742179687,0.0254554154125,0.02355624412109375,0.027530471758906244,1796.058636841774,1613.520907864809,2026.108119252264,401.41236000000004,396.8578295,406.2770760000001,2.9423545557611073,2.5986572691077745,3.3954279126721
