target,label,chain,pip
0,x0,1,1.0
0,x0,2,1.0
0,x0,3,1.0
0,x0,4,1.0
0,x0,pooled,1.0
1,x1,1,0.1414
1,x1,2,0.139
1,x1,3,0.1382
1,x1,4,0.1364
1,x1,pooled,0.13875
2,x2,1,0.1318
2,x2,2,0.1416
2,x2,3,0.1264
2,x2,4,0.1228
2,x2,pooled,0.13065
3,x3,1,1.0
3,x3,2,1.0
3,x3,3,1.0
3,x3,4,1.0
3,x3,pooled,1.0
4,x4,1,0.1684
4,x4,2,0.1716
4,x4,3,0.1756
4,x4,4,0.1692
4,x4,pooled,0.1712
5,x5,1,0.1874
5,x5,2,0.177
5,x5,3,0.1736
5,x5,4,0.1826
5,x5,pooled,0.18015
