variable,mean,sd,rhat,ess,mcse
xi_0,-0.14793445402895042,0.9598038762657135,1.0156980060378806,200.8299138662553,0.067728007394256
xi_1,-0.0023066496538272775,0.9902906300751503,0.9998733227498177,18845.97592814418,0.007213621545893308
xi_2,-0.0028260182427466297,1.0139174012807852,0.9999720889647603,18451.499959599576,0.007464259651635154
xi_3,-0.07088861403611098,1.071094200789073,1.026832873092129,104.32557693629165,0.10486541270165542
xi_4,0.01305999234987716,1.0017998658401963,1.0002343538295946,17284.939014533775,0.007619860900049942
xi_5,0.0043678781563916925,0.9810481870332479,1.0001122436167764,16487.937469429988,0.007640243035804207
xi_6,0.10759683869559751,0.9929616407300108,1.016106920398903,223.85471956436464,0.066366565602639
xi_7,0.007656995214865965,0.9868006793339487,1.0001165918702308,17844.710410228025,0.007387112066547507
xi_8,0.003886061369532929,1.0116816431490099,0.9998820833864127,18095.07707414294,0.007520793272667791
xi_9,-0.0760465845155553,0.9886438745808979,1.05915970288568,86.99668393554369,0.10599576911271673
xi_10,-0.012140761450810724,0.9953551928763295,1.000106315587049,16433.08078290275,0.00776459112985564
xi_11,-0.004902097673131082,0.9809005729651545,1.0000321117954365,16458.078373657416,0.007646019920306545
xi_12,0.07373746861087517,0.9913923951343225,1.0130827060137546,231.62896835364353,0.06514020885949744
xi_13,-0.016259583952962838,0.9834370112653846,0.9999656582829526,18817.38429564009,0.0071691376917113105
xi_14,-0.00835193207522922,0.9852919279262329,0.9999213912145102,18609.89611091038,0.0072225898039640826
xi_15,0.03626928847381059,0.9018351890837659,1.009008754270156,331.00218024316854,0.04956918175659339
xi_16,0.00372178493008699,0.9909728388602559,1.000212960772697,16540.882792300625,0.007705173265889622
xi_17,-0.002031897675494064,0.9936706074305975,1.0001035354300156,16223.867929138038,0.007801268806257885
xi_18,0.006628855726093434,0.978716621326538,1.0297733707567416,190.58275365484806,0.07089492788914335
xi_19,-0.0031505812738866893,0.9969669460041038,0.9999090228353382,18661.58180252982,0.007298044938955382
xi_20,0.009832982974275142,1.0093948112687814,1.0004237586218567,18920.332065004553,0.007338320757009932
xi_21,0.0683486475044698,1.0678433224540063,1.0354677184780838,110.07321685561872,0.10178099843611416
xi_22,0.006813673082449256,0.9975723019945476,1.0000033228565834,17434.097542463227,0.007555177056213022
xi_23,-0.011808908910896617,0.9840728711055862,0.9998577707720824,17271.028235557173,0.007488040113611388
xi_24,-0.10251254230360492,1.0339726808018004,1.016378428461526,160.0223610947494,0.081737006289701
xi_25,0.002292188071407694,0.9947696317082457,0.9999198442274805,19189.750419820844,0.007181048426780318
xi_26,0.012113177086679616,0.9837589694619003,1.0002626425564707,19308.04718805104,0.007079776199336306
xi_27,0.04145460939282493,0.9888720880372779,1.0304083064826246,185.12600849737484,0.07267857439373017
xi_28,0.009759750019221301,0.9866384135344548,1.0002280575073292,16478.86123316951,0.007685894553358072
xi_29,0.008342476917375285,0.9903378341441359,1.0000675874228937,16564.882392591484,0.007694655708461038
xi_30,0.09582140400123398,0.9543072637883733,1.0177750072537892,228.19195625810823,0.0631739545686523
xi_31,-0.0006972604594785257,1.0107119487667122,0.9999601680845175,19184.545408174512,0.0072971226116472715
xi_32,-0.01993439024744347,0.9981659677500937,0.9999278647893844,18758.173495161558,0.007287985240362316
xi_33,0.030142084337305215,1.0071840251454758,1.0079258653486476,175.01051379873041,0.0761336688802016
xi_34,0.007100039086965498,1.0026191093240717,1.0000389259979185,17729.705702495183,0.007529830746789636
xi_35,0.004766006310609981,1.0070001632289898,1.0001541249937242,16340.065450451748,0.00787775817505686
xi_36,-0.054277125427806994,0.9194429138143526,1.034945191125056,120.7623571907268,0.08366792130546566
xi_37,-0.08027509148019987,0.9764048457779856,1.0714316050671986,60.179074332158486,0.12586563596009898
xi_38,0.0885730738885199,0.906380177471773,1.0205849522844697,135.73442387352557,0.07779745623768052
xi_39,-0.13851952512634658,0.8989920874729411,1.052091709537727,110.62937681970875,0.08547136430611571
xi_40,0.038271952881139916,0.8622715679901831,1.0138191155974532,119.09046111086927,0.07901427831158789
xi_41,-0.08438078862609089,0.9192556796023721,1.0270911028519174,84.53717268698166,0.09997984574618156
xi_42,0.021062126316603955,1.005741221234659,1.006841732090561,327.64720236627505,0.05556265865662686
xi_43,0.033309920492331335,0.96146425793919,1.0083361672479472,357.2581316112287,0.050867697836446193
xi_44,0.047496698043089834,0.9915434006425405,1.0086860891139868,376.1391505328889,0.051125487084707336
xi_45,-0.0032334721815098734,0.926441996449151,1.022849171124424,418.14971661464944,0.045305646326385854
xi_46,-0.030769847686472746,0.9963911292645659,1.0117705613557606,334.4491891108265,0.054483472405092145
xi_47,0.030787294407409058,0.9552819508782417,1.0065020606536679,461.8102688324486,0.044452867333686405
xi_48,-0.045117759073829145,0.9917408260340433,1.0035789725514312,214.59154062590943,0.06770050261173767
xi_49,0.04550169330691449,1.0065865276048866,1.014272991102132,236.14292123769988,0.06550337055010855
xi_50,0.06500138724829888,0.9764849962788686,1.014991121549117,328.0056842435978,0.053916896975949244
xi_51,0.0045937495385097405,0.9684072083565896,1.0109374402985019,275.46414501140424,0.058347932835577244
xi_52,0.039130420158206086,1.0785517611190805,1.013190715347379,247.66497986404949,0.06853441210858983
xi_53,0.10495174118906013,0.9877000402635163,1.0126408079418605,256.37668519803736,0.061685886073269344
xi_54,-0.08562634354627797,1.0056244799113085,1.0089003287140248,348.4006233796742,0.05387612788614511
xi_55,0.030109707111419574,0.9656161193697702,1.01647152280886,405.84760429271677,0.04793171999781328
xi_56,-0.023982224966091734,0.9430586303248485,1.0069210687777626,435.8049115798498,0.04517442502194336
xi_57,0.04663315696268454,0.9653572565405912,1.0060178457078168,420.7939924606638,0.0470601492338155
xi_58,-0.028350172341097164,0.9851875034021788,1.009221659597259,330.9167550067729,0.05415761317192501
xi_59,0.006710935506392304,1.0273548055377075,1.014808266099258,346.79719616669024,0.055167419242005716
xi_60,-0.04649454150194318,0.9843843199857907,1.0161056246533968,389.77516891063567,0.04986061180278001
xi_61,0.049175835354433726,0.9926543664388998,1.0120308339842126,356.65063705935705,0.052562565608200204
xi_62,0.07480215740454663,0.9749233394260801,1.0053378985199801,402.88370618170353,0.04857139933655268
xi_63,-0.045219825724875415,0.9670878110179016,1.018680151237269,268.80465944942785,0.05898580534703555
xi_64,0.05743599185516626,0.9765447366661668,1.007313969613322,346.7817353129886,0.05244016335403971
xi_65,0.0070884911628964235,0.9793801132087394,1.005401313635022,392.4628634395295,0.04943698732617488
xi_66,0.04241347750096048,1.0060795161859892,1.005404998338062,288.7881142912756,0.05920285482574478
xi_67,0.12761849536476055,0.9902130908833164,1.0093870705550745,272.9223432809037,0.059938948209597595
xi_68,0.00016438860912323605,0.9523164200204393,1.0139766967413244,381.6392164312125,0.0487477724067197
xi_69,0.036819891512580326,0.9322718211869155,1.0040574213550038,446.78872463854873,0.044105368523277684
xi_70,-0.0031218527680168962,0.9493481392062277,1.0096806382038865,324.386447029837,0.052710137971394594
xi_71,0.037677299543793764,0.9689105313613495,1.0091728048869826,448.71445756587394,0.04574026169767468
xi_72,-0.14127258011308255,0.953717934795543,1.0145431820365003,520.9884430282303,0.04178360477344082
xi_73,-0.13313051661999697,0.9567680228048859,1.008175005521332,324.05100550219635,0.05314959568802345
xi_74,-0.13413410583683885,0.9664593555683342,1.022466078165109,234.02740853375477,0.06317572473406213
xi_75,0.024358898530757164,0.9973515569928867,1.0031794564265104,392.2383206241731,0.05035855496835739
xi_76,-0.15622308117825517,0.9412990805774833,1.008127751651135,433.5913811079808,0.04520508748986212
xi_77,-0.008060340680470027,0.9833127383360178,1.003545664014593,498.30335512980827,0.04404988303818376
xi_78,0.030481784959913927,0.9743683647798458,1.0037266838973329,677.9245097220745,0.03742247502752961
xi_79,-0.029831669531202885,0.9639963632305709,1.0050023020093404,551.5867246836985,0.041045778092061745
xi_80,0.02780437626271733,0.9580947900819604,1.0048512844677306,461.1351072592833,0.044616385600248956
xi_81,-0.0005284805153317847,1.0021308050587028,1.0056754231556702,565.563645350037,0.04213894611658836
xi_82,0.05324244449276725,0.9921374242521966,1.010321101493139,590.6536767825527,0.040823043148286844
xi_83,0.06878343158770256,0.9551979298295565,1.0071467629399866,423.0415005007882,0.046441034530327815
xi_84,-0.00793211976359488,0.9920717423029353,1.007352981609754,342.3778901755286,0.05361548314404758
xi_85,0.11322975444715765,0.9965653374392489,1.010856029819086,352.2273847720064,0.05309996298530231
xi_86,-0.02278303681398456,0.9653618950419912,1.0099954101342925,444.4441367347117,0.04579115117172
xi_87,0.021911451482114548,0.9442418588420901,1.014637730236802,363.79041501545777,0.04950597554095974
xi_88,0.10834358724100857,1.0218854399359318,1.0359341920410108,124.82815810845989,0.09146310274873229
xi_89,0.04254358851421328,0.9568402996215892,1.009809417398946,457.08081781134274,0.04475514417459693
xi_90,0.008169083898061223,0.9860547961496713,1.0294829023157628,188.88556603284542,0.07174665596295288
xi_91,0.0699901728963948,0.9885888881112758,1.0084641995585566,238.72475229952056,0.06398335354483355
xi_92,0.03950164711853565,1.0061696473514568,1.0188839304797757,321.93883900517983,0.05607696817235406
xi_93,-0.014881783774908256,0.938816386984147,1.0102862621797035,747.0613587568356,0.03434808467690051
xi_94,0.043294369750949496,0.9849397733639405,1.0116825813386503,382.15164222711525,0.05038390334559692
xi_95,0.042680102306827256,0.9684897970140575,1.012536767125884,345.7330423192498,0.05208643167428363
xi_96,0.08399668812926284,0.9997804246360603,1.0312476214067625,229.63146734520421,0.06597644771472552
xi_97,-0.03135945686555672,0.9805765191767708,1.006897583053748,545.9315983926142,0.0419674298823892
xi_98,0.03467097234506124,0.9924932219764904,1.0035229803987378,333.97454951811415,0.0543088820801019
xi_99,0.03861335975305689,0.9903426624627741,1.0116798659622366,547.6205232767674,0.04231999719585883
xi_100,-0.03671032676740639,0.967575345906843,1.0015897778482596,636.6851090540696,0.03834621011192077
xi_101,0.00670182859470508,0.9730144275239101,1.0075581453788802,548.2033001414688,0.04155740847471226
xi_102,-0.09856612534829728,0.9243240787346524,1.0031183145279272,948.9505994502774,0.030005610287740785
xi_103,-0.0782328517169538,0.9379110392714365,1.0123200000112875,541.843305785588,0.0402925535193368
xi_104,0.012736817385308236,0.9644671829203891,1.015578282783433,330.97251321130557,0.05301411196842217
xi_105,0.013423335859780661,0.9601963937205925,1.015438298089483,326.03817978001535,0.053177245842794055
xi_106,-0.0983398498947241,0.9670128734376752,1.0020226375208547,520.4342274010726,0.04238862509650914
xi_107,0.1692755305936584,0.7891784501706618,1.019814224452235,215.87778428553585,0.05371198982652998
xi_108,0.2703790051859186,0.8012721175232604,1.0237234771049042,132.52905037116363,0.06960244366737717
xi_109,0.2994824434671613,0.8131399560562835,1.0876087051913383,61.58384842278916,0.10361720886721781
xi_110,0.13525372160569424,0.8808496153000936,1.0792489217643284,58.98036509491104,0.11469593885949188
xi_111,0.1296102857967444,0.8118637785115475,1.0358513243443372,175.64589964900765,0.06125818960665696
xi_112,-0.13915522103476063,0.7431158895164119,1.0899178751811214,42.474777106242726,0.11402261406677279
xi_113,1.2054735197463766,0.5574793016938598,1.0198546471892975,172.95718980029875,0.04238961159226954
xi_114,-0.5745952534093822,0.7402063808752802,1.0009778460543957,1255.3283963830368,0.020891717666061384
xi_115,-0.5818430426222565,0.7409239366368511,1.0029100265416748,963.4826443016374,0.023869959249343705
xi_116,1.330807311506415,0.5958282223933324,1.0204748432028121,119.31401131632825,0.054547562304606924
