variable,mean,sd,rhat,ess,mcse,quantity
x0,1.0,0.0,1.0,20000.0,0.0,active_indicator
x1,0.13875,0.34569410281431506,1.001837522983621,3744.3744886019535,0.005649400085547581,active_indicator
x2,0.13065,0.3370256026073511,1.0009294956436166,3828.1266567536495,0.005447155142126551,active_indicator
x3,1.0,0.0,1.0,20000.0,0.0,active_indicator
x4,0.1712,0.37669305128007013,1.0021374607559328,1908.6493306883972,0.00862232794242377,active_indicator
x5,0.18015,0.38432195184264584,1.002082815376605,3135.55257863053,0.006863381623010161,active_indicator
x0,2.3346876857995986,0.6598033476437407,1.007859326487331,299.44197911954006,0.03812924206505948,slab_strength
x1,2.336865016309917,0.6824812558019343,1.0005140919015794,6683.871842301146,0.008347889102367436,slab_strength
x2,2.350751135459542,0.6926397207055371,1.0003640852688591,6449.077463781532,0.008624989927729285,slab_strength
x3,2.3792537229299544,0.6548550850549404,1.0188254756610575,189.9890680544655,0.04750954793464288,slab_strength
x4,2.337632336807251,0.6970930926307494,1.0003798029074265,6142.876740475516,0.008894158791970506,slab_strength
x5,2.3235880973398686,0.6900492211343139,1.0002836593244346,6199.364060018021,0.00876408335381303,slab_strength
x0,1.0199504020489751,0.5268255557762783,1.0246396922095105,196.4759791830755,0.03758478783931061,effective_strength
x1,0.01099438801426808,0.05957584585387217,1.0017472348417074,5601.230285550825,0.0007960282910871642,effective_strength
x2,0.009995823681848127,0.056072801252150674,1.0010562697320522,5341.485108875207,0.0007672223430520865,effective_strength
x3,1.1731103747472167,0.5450173756089576,1.0326512028246069,125.3323584741185,0.048683157954907456,effective_strength
x4,0.01759113719705,0.07414427920685424,1.0013469848296697,2703.2960633060643,0.0014260371565709294,effective_strength
x5,0.02191581177903106,0.09467011581300266,1.0023002695125052,1895.8036529301405,0.002174283802349959,effective_strength
threshold_0,0.19720319115733964,0.4764952657736512,1.0198498016590072,92.12628153247312,0.04964400594505878,derived
active_count,2.62075,0.7692522505336484,1.0060914491877986,571.1913579011048,0.03218681186440542,derived
