method,setting,seed,replicate_id,j0,j1,beta_true,truth,pip,selected,effect_mean
last_flow,simple,489,489,0,1,0.0,0,0.0,0,0.0
last_flow,simple,489,489,1,2,0.0,0,0.0,0,0.0
last_flow,simple,489,489,2,3,0.0,0,0.0,0,0.0
last_flow,simple,489,489,3,4,0.0,0,0.0,0,0.0
last_flow,simple,489,489,4,5,-1.2009953,1,1.0,1,-1.229118
last_flow,simple,489,489,5,6,-1.0735103,1,1.0,1,-1.0156693
last_flow,simple,489,489,6,7,0.0,0,0.0,0,0.0
last_flow,simple,489,489,7,8,0.0,0,0.0,0,0.0
last_flow,simple,489,489,8,9,0.0,0,0.0,0,0.0
last_flow,simple,489,489,9,10,0.0,0,0.0,0,0.0
last_flow,simple,489,489,10,11,0.0,0,0.0,0,0.0
last_flow,simple,489,489,11,12,0.0,0,0.0,0,0.0
last_flow,simple,489,489,12,13,0.922598,1,1.0,1,1.0608658
last_flow,simple,489,489,13,14,0.0,0,0.0,0,0.0
last_flow,simple,489,489,14,15,0.0,0,0.0,0,0.0
last_flow,simple,489,489,15,16,0.0,0,0.0,0,0.0
last_flow,simple,489,489,16,17,0.0,0,0.0,0,0.0
last_flow,simple,489,489,17,18,0.0,0,0.0,0,0.0
last_flow,simple,489,489,18,19,0.0,0,0.0,0,0.0
last_flow,simple,489,489,19,20,0.0,0,0.0,0,0.0
last_flow,simple,489,489,20,21,0.0,0,0.0,0,0.0
last_flow,simple,489,489,21,22,-1.7927612,1,1.0,1,-1.5062946
last_flow,simple,489,489,22,23,0.0,0,0.0,0,0.0
last_flow,simple,489,489,23,24,0.0,0,0.0,0,0.0
last_flow,simple,489,489,24,25,0.0,0,0.0,0,0.0
last_flow,simple,489,489,25,26,1.5568787,1,1.0,1,1.0635445
last_flow,simple,489,489,26,27,0.0,0,0.0,0,0.0
last_flow,simple,489,489,27,28,0.0,0,0.0,0,0.0
last_flow,simple,489,489,28,29,0.0,0,0.0,0,0.0
last_flow,simple,489,489,29,30,0.0,0,0.0,0,0.0
last_flow,simple,489,489,30,31,0.0,0,0.0,0,0.0
last_flow,simple,489,489,31,32,0.0,0,0.0,0,0.0
last_flow,simple,489,489,32,33,0.0,0,0.0,0,0.0
last_flow,simple,489,489,33,34,0.0,0,0.0,0,0.0
last_flow,simple,489,489,34,35,0.0,0,0.0,0,0.0
last_flow,simple,489,489,35,36,0.0,0,0.0,0,0.0
