support_idx,support_size,loss,loss_ema,log_grad_ema,val_mse,val_rmse,val_mae,val_r2,val_heldout_loglik,val_nll,dS,churn,pred_improve_rel,loss_improve_rel,grad_slope,expected_support_soft,softgate_entropy,beta_soft_sd_mean,beta_soft_abs_mean,softgate_churn,moment_recovery_score,recovery_score,active_mean_zerr_median,active_mean_zerr_mean,active_sd_logerr_median,active_sd_logerr_mean,active_sd_ratio_median,active_sd_ratio_mean,sd_ratio_median,sd_ratio_mean,active_marg_skl_median,active_marg_skl_mean,active_joint_skl_median,active_joint_skl_mean,softgate_absdiff_median,softgate_absdiff_mean,zero_soft_leakage_median,zero_soft_leakage_mean,ckpt_id,stage,is_warmup,epoch,epoch_in_stage,tau,lr,grad_norm,log_grad,alert,best_so_far
"[4, 5, 6, 7, 9, 10, 11, 12, 15, 17, 18, 20, 21, 23, 26, 31, 33, 38, 41, 44, 46, 47, 48, 52, 54, 56, 58, 59, 61, 62, 63, 65, 66, 67, 69, 70, 72, 73, 74, 77, 78, 79, 81, 86, 87, 88, 90, 94, 95, 96, 97, 99]",52,1621.42919922,1621.42919922,7.78898316,12.04752827,3.47095495,2.73373747,-0.0140067,-5.3232708,5.3232708,0,0.0,0.0,0.0,0.0,50.03537369,0.69198906,0.04107016,0.03283282,0.0,15.44117398,15.44117398,14.42486462,12.2244489,1.01630936,1.04583635,0.36192845,0.3538256,0.36192845,0.3538256,28.84417799,27.26505481,30.06313173,30.0728608,0.50019469,0.49842187,0.00148192,0.00210122,0,0,True,1,1,1.2,1e-05,2413.86181641,7.78898316,False,True
"[0, 1, 2, 3, 5, 6, 8, 10, 11, 12, 14, 16, 17, 18, 21, 23, 24, 26, 29, 30, 31, 32, 34, 37, 38, 39, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 60, 63, 66, 67, 71, 72, 73, 74, 75, 78, 80, 81, 82, 84, 85, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99]",67,1533.17211914,1564.63841157,7.76983813,12.33434868,3.51202914,2.77271175,-0.03814757,-5.57863665,5.57863665,15,0.6,0.0,0.05443166,-0.01914503,50.07892609,0.69179744,0.04218624,0.03608663,0.00348974,15.27642774,15.27642774,14.2857894,12.09385111,0.99063834,1.02396074,0.37139173,0.36302765,0.37139173,0.36302765,28.83315225,27.23188033,29.98379284,29.98095288,0.50075552,0.49823227,0.01632631,0.01597225,1,0,True,25,25,1.2,1e-05,2347.08398438,7.76092898,False,True
"[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 63, 66, 67, 68, 71, 72, 73, 74, 75, 77, 78, 79, 80, 81, 82, 84, 85, 86, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99]",84,1440.47021484,1474.04185925,7.77451704,12.6115694,3.55127715,2.82057524,-0.06148046,-5.15088415,5.15088415,17,0.20238095,0.0,0.06046412,0.00467891,51.49012756,0.69125831,0.0451302,0.0462141,0.01411198,15.04802513,15.04802513,14.09063289,11.90863202,0.95739223,0.94981527,0.38389373,0.39028989,0.38389373,0.39028989,28.79853874,27.14355569,29.96620446,29.95287754,0.51701066,0.50893526,0.03468145,0.03473767,2,0,True,50,50,1.2,1e-05,2385.56518555,7.77719135,False,True
"[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 63, 66, 67, 68, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 82, 84, 85, 86, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99]",85,1334.53295898,1371.22978677,7.79103968,13.33267784,3.65139396,2.91507244,-0.12217414,-5.17369032,5.17369032,1,0.05747126,0.0,0.07354352,0.01652265,52.91218948,0.68931121,0.04843424,0.06224686,0.01470861,14.77038805,14.77038805,13.90523954,11.71963107,0.86514851,0.89079285,0.42099189,0.41385743,0.42099189,0.41385743,28.7662613,27.04392396,29.90438447,29.91528102,0.53621082,0.51976223,0.0579894,0.05582703,3,0,True,75,75,1.2,1e-05,2444.6315918,7.80164971,False,True
"[0, 1, 2, 3, 5, 6, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 63, 66, 67, 68, 71, 72, 73, 74, 75, 78, 79, 80, 81, 82, 83, 84, 85, 86, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99]",84,1199.09680176,1249.82788116,7.82197253,14.21962357,3.77089161,3.02285457,-0.19682588,-5.21045399,5.21045399,-1,0.03488372,0.0,0.10148581,0.03093284,54.72546005,0.68495852,0.05242307,0.08657443,0.01881386,14.29432455,14.29432455,13.5209523,11.405296,0.77337226,0.79257671,0.46147154,0.45623356,0.46147154,0.45623356,28.71597144,26.84448546,29.77658467,29.77748545,0.5606876,0.5334047,0.08730777,0.0817745,4,0,True,100,100,1.2,1e-05,2514.87109375,7.82997683,False,True
"[0, 1, 2, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63, 65, 66, 67, 68, 71, 72, 73, 74, 75, 76, 78, 79, 80, 81, 82, 83, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",89,1036.85290527,1099.66776937,7.84756995,16.57255936,4.07094084,3.26452208,-0.39486589,-5.4157362,5.4157362,5,0.05617978,0.0,0.13530509,0.02559742,57.49796295,0.67536807,0.05984732,0.12477347,0.02773354,13.66025221,13.66025221,13.08165182,10.9817483,0.57860039,0.6051064,0.56068369,0.5517616,0.56068369,0.5517616,28.6308061,26.2716984,29.58419207,29.58662369,0.60191134,0.55449175,0.12777613,0.12044766,5,0,True,125,125,1.2,1e-05,2574.41577148,7.8533779,False,True
"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",97,840.16967773,911.33317134,7.80455019,21.3144455,4.61675703,3.78469062,-0.79397716,-6.44188547,6.44188547,8,0.08247423,0.0,0.18969251,-0.04301975,61.89322281,0.65270114,0.07073795,0.19001,0.04395258,12.56519072,12.56519072,12.20634914,10.14675068,0.35884158,0.38322441,0.69848518,0.6894416,0.69848518,0.6894416,28.50509272,26.05019331,29.35285323,29.35903248,0.65894437,0.58820017,0.20098716,0.18204291,6,0,True,150,150,1.2,1e-05,2341.734375,7.75864712,False,True
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",100,658.27734375,716.74669248,7.36251641,28.57857704,5.34589347,4.27668428,-1.40537877,-8.18407154,8.18407154,3,0.03,0.0,0.21649476,-0.44203379,66.9261322,0.61375737,0.08540681,0.27929667,0.05032915,10.48482765,10.48482765,10.39103761,8.72118629,0.09379004,0.14375962,0.91050064,0.88523885,0.91050064,0.88523885,28.36127728,25.37849724,29.09575341,29.10941184,0.71833169,0.62612122,0.27443659,0.26167282,7,0,True,175,175,1.2,1e-05,1205.4095459,7.09457466,False,True
"[0, 1, 2, 3, 5, 6, 8, 10, 11, 12, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63, 65, 66, 67, 71, 72, 73, 74, 75, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",86,574.53631592,604.15214212,6.78756237,28.13680458,5.30441369,4.2187295,-1.36819601,-7.1913929,7.1913929,-14,0.14,0.01545817,0.12721238,-0.57495404,65.40642548,0.61994231,0.08594909,0.28658307,0.01676312,9.07717135,9.07717135,8.90515467,7.70520938,0.17201668,0.20548426,1.15250971,1.05084247,1.15250971,1.05084247,28.20442629,24.28355433,28.86516657,28.89634618,0.70128742,0.61001675,0.24109323,0.25538698,8,0,True,200,200,1.2,1e-05,744.36450195,6.61253084,False,True
"[0, 1, 2, 3, 5, 6, 8, 10, 11, 12, 14, 16, 17, 18, 21, 23, 24, 25, 26, 27, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 63, 66, 67, 71, 72, 73, 74, 75, 78, 80, 81, 82, 84, 85, 86, 88, 89, 91, 92, 93, 94, 95, 96, 97, 98, 99]",73,520.28057861,540.85977295,6.3875979,24.20889854,4.92025391,3.98612475,-1.03759517,-6.80732965,6.80732965,-13,0.15116279,0.13960029,0.09443396,-0.39996447,62.51086044,0.63228071,0.0852285,0.28449088,0.02962233,7.26044044,7.26044044,6.96273119,6.42242154,0.29770925,0.29823179,1.3235237,1.176267,1.3235237,1.176267,22.79668623,22.3050045,28.74071217,28.77121292,0.67349312,0.58153892,0.21175884,0.23669724,9,0,True,225,225,1.2,1e-05,514.70648193,6.2435968,False,True
