stage,tau,best_ckpt_id,best_epoch,best_val_mse,best_support_size,n_evals,best_lasso_recovery_score
0,0.8,12,300,2.747657537460327,9,13,1.9714455681307044
1,0.8,34,825,2.373195171356201,7,49,0.7621045050931483
